41644.79,132.85,6284
41644.83,125.48,6170
41644.88,103.38,6004
41644.92,96.17,5768
41644.96,86.75,5451
41645,76.51,5039
41645.04,76.98,4768
41645.08,74.85,4591
41645.13,70.91,4513
41645.17,72.28,4525
41645.21,79.81,4731
41645.25,110.81,5264
41645.29,146.56,5871
41645.33,139.15,6255
41645.38,134.66,6490
41645.42,139.39,6618
41645.46,135.39,6693
41645.5,124.75,6753
41645.54,122.68,6762
41645.58,118.7,6766
41645.63,128.18,6775
41645.67,138.43,6896
41645.71,194.05,7051
41645.75,179.05,6966
41645.79,158.59,6799
41645.83,138.07,6608
41645.88,116.47,6371
41645.92,108.46,6038
41645.96,111.26,5609
41646,157.09,5287
41646.04,151.63,5050
41646.08,149.32,4895
41646.13,148.12,4828
41646.17,153.08,4897
41646.21,165.15,5195
41646.25,202.34,5774
41646.29,235,6377
41646.33,216.97,6796
41646.38,224.49,7073
41646.42,231.03,7243
41646.46,220.67,7342
41646.5,192.67,7407
41646.54,196.29,7417
41646.58,188.12,7408
41646.63,192.22,7417
41646.67,211,7516
41646.71,300.35,7699
41646.75,295.6,7607
41646.79,254.29,7395
41646.83,242.79,7152
41646.88,209.3,6842
41646.92,186.66,6455
41646.96,173.67,5975
41647,208.64,5637
41647.04,189.71,5330
41647.08,188.26,5146
41647.13,187.79,5058
41647.17,189.5,5127
41647.21,212.78,5407
41647.25,259.6,5948
41647.29,266.2,6484
41647.33,250.24,6860
41647.38,249.15,7105
41647.42,240.04,7250
41647.46,225.88,7328
41647.5,217.78,7373
41647.54,209.64,7361
41647.58,202.17,7332
41647.63,213.65,7339
41647.67,217.68,7427
41647.71,285.81,7595
41647.75,269.99,7505
41647.79,238.39,7290
41647.83,231.68,7044
41647.88,218.07,6745
41647.92,201.09,6361
41647.96,197.51,5902
41648,182.3,5581
41648.04,158.65,5270
41648.08,158.71,5077
41648.13,162.88,4982
41648.17,163.88,5034
41648.21,180.44,5278
41648.25,190.36,5790
41648.29,241.2,6278
41648.33,244.85,6638
41648.38,230.58,6867
41648.42,189.56,7028
41648.46,182.12,7094
41648.5,180.37,7144
41648.54,177.2,7141
41648.58,175.86,7117
41648.63,176.21,7120
41648.67,186.51,7189
41648.71,257.52,7383
41648.75,227.9,7310
41648.79,194.74,7116
41648.83,187,6885
41648.88,180.29,6622
41648.92,166.58,6276
41648.96,152.53,5853
41649,64.57,5471
41649.04,66.65,5163
41649.08,61.49,4957
41649.13,53.3,4856
41649.17,60.79,4892
41649.21,54.08,5125
41649.25,79.15,5609
41649.29,96.48,6112
41649.33,91.33,6460
41649.38,86.52,6716
41649.42,78.01,6884
41649.46,75.94,6942
41649.5,72.75,6985
41649.54,71.17,6979
41649.58,65.51,6947
41649.63,65.42,6950
41649.67,76.73,7024
41649.71,105.2,7168
41649.75,84.48,7054
41649.79,77.64,6836
41649.83,71.92,6600
41649.88,68.39,6362
41649.92,46.48,6076
41649.96,49.27,5695
41650,31.72,5251
41650.04,30.45,4964
41650.08,31.36,4771
41650.13,30.1,4664
41650.17,29.99,4552
41650.21,29.36,4519
41650.25,33.85,4629
41650.29,32.25,4891
41650.33,35.81,5174
41650.38,38.87,5459
41650.42,40.5,5681
41650.46,39.84,5780
41650.5,38.61,5831
41650.54,36.39,5834
41650.58,35.28,5807
41650.63,35.51,5803
41650.67,39.07,5879
41650.71,49.92,6140
41650.75,45.23,6167
41650.79,42,6064
41650.83,39.71,5923
41650.88,37.43,5773
41650.92,33.86,5585
41650.96,34.42,5322
41651,33.66,5032
41651.04,33.04,4780
41651.08,30.07,4612
41651.13,29.86,4538
41651.17,30.09,4433
41651.21,26.44,4342
41651.25,25.93,4360
41651.29,26.56,4548
41651.33,28.45,4776
41651.38,32.43,5049
41651.42,35.35,5280
41651.46,35.53,5400
41651.5,36.14,5472
41651.54,34.86,5479
41651.58,34.08,5484
41651.63,33.43,5490
41651.67,36.57,5592
41651.71,50.06,5962
41651.75,47.96,6091
41651.79,44.34,6062
41651.83,40.49,5998
41651.88,41.24,5872
41651.92,35.15,5665
41651.96,33.36,5378
41652,29.78,5073
41652.04,26.14,4797
41652.08,26,4628
41652.13,25.9,4549
41652.17,25.88,4591
41652.21,31.28,4826
41652.25,39.53,5322
41652.29,45.23,5878
41652.33,40.04,6206
41652.38,40.38,6454
41652.42,40.38,6602
41652.46,40.01,6641
41652.5,39.38,6670
41652.54,38.09,6681
41652.58,37.16,6660
41652.63,36.92,6674
41652.67,42.87,6782
41652.71,56.67,6972
41652.75,49.7,6892
41652.79,45.91,6712
41652.83,41.01,6486
41652.88,38.04,6218
41652.92,34.81,5854
41652.96,33.24,5398
41653,31.08,4966
41653.04,26.8,4672
41653.08,25.92,4489
41653.13,25.62,4397
41653.17,26.13,4396
41653.21,32.09,4620
41653.25,47.52,5114
41653.29,50.67,5682
41653.33,47.84,6026
41653.38,46.93,6285
41653.42,48.58,6441
41653.46,46.06,6500
41653.5,42.83,6535
41653.54,42.19,6555
41653.58,41.93,6550
41653.63,41.89,6574
41653.67,44.75,6668
41653.71,61.28,6849
41653.75,55.02,6759
41653.79,51.37,6573
41653.83,45.47,6372
41653.88,39.88,6115
41653.92,37.82,5756
41653.96,36.15,5321
41654,31.48,4978
41654.04,27.07,4686
41654.08,25.87,4508
41654.13,25.7,4414
41654.17,27.07,4426
41654.21,36.01,4670
41654.25,50.82,5160
41654.29,53.21,5720
41654.33,50.82,6059
41654.38,52.06,6297
41654.42,52.15,6434
41654.46,51.07,6465
41654.5,46.87,6487
41654.54,45.35,6492
41654.58,43.25,6467
41654.63,43.07,6483
41654.67,45.45,6566
41654.71,61.34,6794
41654.75,55.82,6728
41654.79,52.96,6552
41654.83,45.31,6345
41654.88,42.85,6099
41654.92,39.72,5764
41654.96,37.84,5322
41655,40.15,4961
41655.04,33.94,4689
41655.08,31.67,4519
41655.13,31.2,4432
41655.17,33.6,4441
41655.21,37.07,4667
41655.25,46.26,5164
41655.29,56.36,5746
41655.33,51.27,6084
41655.38,55,6333
41655.42,56.44,6469
41655.46,56.51,6517
41655.5,51.17,6536
41655.54,47.07,6546
41655.58,45.39,6514
41655.63,45.35,6534
41655.67,46.28,6605
41655.71,64.08,6812
41655.75,59.54,6766
41655.79,57.34,6586
41655.83,47.49,6380
41655.88,45.55,6125
41655.92,43.77,5799
41655.96,45.08,5378
41656,36.93,5025
41656.04,32.64,4747
41656.08,31.02,4576
41656.13,29.68,4495
41656.17,33.9,4507
41656.21,35.53,4744
41656.25,54.33,5251
41656.29,56.56,5830
41656.33,50.11,6181
41656.38,56.03,6427
41656.42,55.27,6562
41656.46,51.15,6599
41656.5,47.22,6600
41656.54,44.94,6583
41656.58,42.99,6539
41656.63,42.44,6537
41656.67,43.29,6587
41656.71,58.21,6761
41656.75,54.65,6698
41656.79,49.66,6507
41656.83,43.6,6273
41656.88,43.75,6039
41656.92,42.93,5765
41656.96,39.61,5379
41657,55.54,4964
41657.04,45.93,4735
41657.08,41.92,4579
41657.13,41.09,4490
41657.17,39.56,4398
41657.21,40.28,4385
41657.25,51.61,4511
41657.29,55.31,4801
41657.33,58.33,5084
41657.38,64.52,5362
41657.42,66,5561
41657.46,65.29,5650
41657.5,62.66,5670
41657.54,61.11,5662
41657.58,60.99,5633
